time,close,high,low,open,volumebtc,volume,date
1586509200,6925.73,6937.34,6860.1,6923.78,53.66,370216.25,2020-04-10
1586512800,6942.56,6950.64,6905.17,6925.73,22.09,153196.61,2020-04-10
1586516400,6905.0,6942.56,6902.55,6942.56,43.56,301529.79,2020-04-10
1586520000,6936.3,6936.65,6891.09,6905.0,20.42,141355.01,2020-04-10
1586523600,6915.93,6936.36,6799.0,6936.3,113.67,782423.26,2020-04-10
1586527200,6859.98,6924.7,6839.38,6915.93,64.07,440973.72,2020-04-10
1586530800,6781.08,6874.7,6751.17,6859.98,104.66,712418.2,2020-04-10
1586534400,6871.73,6871.73,6759.0,6781.08,63.61,433869.96,2020-04-10
1586538000,6881.66,6910.5,6855.0,6871.73,51.09,351586.61,2020-04-10
1586541600,6923.9,6940.72,6862.46,6881.66,31.31,216129.97,2020-04-10
1586545200,6915.61,6960.14,6877.21,6923.9,56.37,390325.71,2020-04-10
1586548800,6923.61,6938.3,6893.94,6915.61,26.65,184237.33,2020-04-10
1586552400,6906.8,6949.58,6901.78,6923.61,18.88,130747.19,2020-04-10
1586556000,6869.07,6933.87,6843.21,6906.8,18.23,125573.98,2020-04-10
1586559600,6874.28,6887.21,6833.99,6869.07,44.43,304594.82,2020-04-10
1586563200,6912.7,6919.87,6855.1,6874.28,32.55,224165.1,2020-04-11
1586566800,6916.36,6926.63,6892.11,6912.7,31.53,217873.41,2020-04-11
1586570400,6922.43,6930.0,6902.0,6916.36,5.844,40425.22,2020-04-11
1586574000,6922.43,6925.97,6905.74,6922.43,22.29,154084.93,2020-04-11
1586577600,6927.35,6954.39,6917.79,6922.43,12.33,85569.09,2020-04-11
1586581200,6939.31,6941.02,6913.29,6927.35,9.046,62668.13,2020-04-11
1586584800,6936.05,6948.83,6927.22,6939.31,7.777,53953.91,2020-04-11
1586588400,6891.44,6936.05,6877.4,6936.05,30.53,210779.29,2020-04-11
1586592000,6889.76,6907.99,6873.7,6891.44,9.5,65470.64,2020-04-11
1586595600,6873.44,6892.86,6844.99,6889.76,25.68,176325.76,2020-04-11
1586599200,6858.12,6879.42,6848.02,6873.44,5.639,38691.07,2020-04-11
1586602800,6894.08,6900.31,6849.0,6858.12,23.99,165104.93,2020-04-11
1586606400,6883.01,6897.75,6870.0,6894.08,9.524,65583.55,2020-04-11
1586610000,6865.57,6894.36,6858.94,6883.01,9.101,62530.62,2020-04-11
1586613600,6836.98,6865.57,6817.94,6865.57,25.55,174847.63,2020-04-11
1586617200,6850.12,6870.0,6828.48,6836.98,20.52,140635.02,2020-04-11
1586620800,6830.12,6867.52,6808.23,6850.12,26.99,184322.1,2020-04-11
1586624400,6797.87,6838.7,6792.44,6830.12,52.77,359317.39,2020-04-11
1586628000,6828.36,6834.53,6791.88,6797.87,23.87,162617.3,2020-04-11
1586631600,6816.28,6841.67,6800.24,6828.36,23.1,157495.73,2020-04-11
1586635200,6797.43,6816.28,6775.0,6816.28,53.07,360453.33,2020-04-11
1586638800,6873.96,6875.0,6780.22,6797.43,33.77,230339.12,2020-04-11
1586642400,6872.79,6888.55,6857.22,6873.96,35.83,246303.59,2020-04-11
1586646000,6891.62,6893.9,6858.88,6872.79,19.56,134622.98,2020-04-11
1586649600,6874.39,6911.8,6868.74,6891.62,30.38,209171.04,2020-04-12
1586653200,6856.45,6885.0,6852.08,6874.39,16.95,116416.81,2020-04-12
1586656800,6829.88,6860.29,6813.75,6856.45,15.11,103120.35,2020-04-12
1586660400,6822.01,6839.0,6816.29,6829.88,20.21,137991.08,2020-04-12
1586664000,6830.23,6835.2,6793.29,6822.01,23.18,158030.77,2020-04-12
1586667600,6845.78,6855.64,6821.01,6830.23,10.13,69249.24,2020-04-12
1586671200,6833.31,6849.7,6823.38,6845.78,5.123,35031.81,2020-04-12
1586674800,6843.84,6843.84,6817.76,6833.31,6.177,42169.49,2020-04-12
1586678400,6842.95,6848.51,6841.1,6843.84,14.32,97947.98,2020-04-12
1586682000,6860.05,6869.0,6842.95,6842.95,4.438,30440.32,2020-04-12
1586685600,6847.02,6863.68,6844.63,6860.05,7.235,49566.3,2020-04-12
1586689200,6869.76,6887.09,6847.02,6847.02,24.33,167136.99,2020-04-12
1586692800,6917.73,6947.24,6863.3,6869.76,51.02,352405.17,2020-04-12
1586696400,6930.56,6940.71,6901.0,6917.73,13.55,93857.32,2020-04-12
1586700000,6980.0,7015.0,6926.82,6930.56,66.17,461987.42,2020-04-12
1586703600,7033.14,7039.03,6980.0,6980.0,71.48,500439.22,2020-04-12
1586707200,7158.93,7163.03,7033.14,7033.14,219.74,1558830.68,2020-04-12
1586710800,7117.56,7201.0,7071.0,7158.93,106.75,763063.4,2020-04-12
1586714400,7126.78,7135.04,7095.0,7117.56,27.67,196796.1,2020-04-12
1586718000,7135.8,7169.68,7119.32,7126.78,35.25,251885.39,2020-04-12
1586721600,7123.02,7177.41,7095.0,7135.8,59.57,425650.77,2020-04-12
1586725200,7131.14,7134.99,7090.88,7123.02,14.99,106647.23,2020-04-12
1586728800,7038.89,7151.0,6967.0,7131.14,74.77,526821.69,2020-04-12
1586732400,6910.4,7049.33,6890.0,7038.89,53.34,371391.98,2020-04-12
1586736000,6724.45,6910.4,6560.0,6910.4,234.12,1575613.44,2020-04-13
1586739600,6698.87,6736.85,6663.33,6724.45,63.8,427575.14,2020-04-13
1586743200,6726.15,6728.66,6669.87,6698.87,29.08,194751.35,2020-04-13
1586746800,6686.86,6726.15,6680.0,6726.15,34.97,234523.73,2020-04-13
1586750400,6705.91,6725.49,6656.34,6686.86,58.33,390501.08,2020-04-13
1586754000,6709.99,6724.57,6698.96,6705.91,16.47,110542.59,2020-04-13
1586757600,6747.24,6747.24,6700.0,6709.99,18.86,126873.2,2020-04-13
1586761200,6709.83,6747.24,6690.01,6747.24,12.09,81221.26,2020-04-13
1586764800,6712.0,6734.75,6704.0,6709.83,22.03,148048.65,2020-04-13
1586768400,6698.41,6717.8,6673.35,6712.0,30.98,207434.16,2020-04-13
1586772000,6731.38,6733.32,6698.28,6698.41,7.38,49565.21,2020-04-13
1586775600,6793.98,6863.87,6715.0,6731.38,44.16,300096.68,2020-04-13
1586779200,6700.29,6797.64,6673.67,6793.98,49.41,331580.79,2020-04-13
1586782800,6621.81,6736.04,6600.0,6700.29,47.24,315959.95,2020-04-13
1586786400,6732.82,6777.97,6621.81,6621.81,59.83,401558.73,2020-04-13
1586790000,6779.56,6815.0,6716.52,6732.82,79.02,534581.33,2020-04-13
1586793600,6767.04,6817.96,6750.0,6779.56,53.9,365518.35,2020-04-13
1586797200,6770.69,6796.36,6758.69,6767.04,16.34,110690.74,2020-04-13
1586800800,6762.78,6797.43,6761.11,6770.69,19.78,134078.66,2020-04-13
1586804400,6794.03,6823.61,6762.78,6762.78,26.02,176734.91,2020-04-13
1586808000,6833.58,6840.32,6791.93,6794.03,32.01,218155.01,2020-04-13
1586811600,6846.11,6901.0,6821.37,6833.58,41.73,286551.64,2020-04-13
1586815200,6891.42,6901.0,6824.46,6846.11,38.29,262831.33,2020-04-13
1586818800,6863.54,6903.99,6845.48,6891.42,64.86,446321.8,2020-04-13
1586822400,6847.56,6891.97,6829.11,6863.54,21.73,149127.18,2020-04-14
1586826000,6866.42,6867.47,6824.7,6847.56,19.11,130893.83,2020-04-14
1586829600,6870.94,6884.85,6861.58,6866.42,21.05,144612.1,2020-04-14
1586833200,6900.29,6917.37,6855.62,6870.94,20.63,141917.16,2020-04-14
1586836800,6899.45,6932.22,6890.0,6900.29,34.65,239519.98,2020-04-14
1586840400,6899.88,6912.34,6880.97,6899.45,11.89,81960.65,2020-04-14
1586844000,6888.33,6899.88,6874.03,6899.88,8.28,57001.45,2020-04-14
1586847600,6835.95,6908.23,6830.0,6888.33,31.1,213290.78,2020-04-14
1586851200,6792.57,6835.95,6771.7,6835.95,43.22,293903.41,2020-04-14
1586854800,6864.05,6866.46,6782.0,6792.57,9.444,64416.46,2020-04-14
1586858400,6840.55,6893.01,6840.55,6864.05,26.66,183020.2,2020-04-14
1586862000,6845.08,6876.77,6827.08,6840.55,14.1,96548.23,2020-04-14
1586865600,6856.37,6862.38,6818.49,6845.08,10.9,74598.47,2020-04-14
1586869200,6909.09,6909.09,6854.58,6856.37,29.95,206431.42,2020-04-14
1586872800,6914.57,6972.0,6875.01,6909.09,77.77,538865.68,2020-04-14
1586876400,6925.13,6946.46,6892.27,6914.57,43.04,298002.86,2020-04-14
1586880000,6964.03,6972.0,6899.99,6925.13,48.93,340128.07,2020-04-14
1586883600,6935.29,6988.0,6922.92,6964.03,67.31,467803.1,2020-04-14
1586887200,6921.79,6955.47,6908.56,6935.29,27.0,187124.92,2020-04-14
1586890800,6932.67,6937.71,6860.43,6921.79,37.2,256945.3,2020-04-14
1586894400,6875.83,6944.39,6850.0,6932.67,23.92,164863.21,2020-04-14
1586898000,6862.18,6892.14,6850.0,6875.83,30.12,207082.48,2020-04-14
1586901600,6889.77,6917.53,6849.85,6862.18,49.78,342887.48,2020-04-14
1586905200,6874.32,6904.17,6852.4,6889.77,19.42,133634.59,2020-04-14
1586908800,6845.06,6880.2,6822.65,6874.32,73.14,500371.32,2020-04-15
1586912400,6885.2,6885.81,6835.0,6845.06,27.22,186925.13,2020-04-15
1586916000,6905.57,6913.15,6877.21,6885.2,41.16,283859.69,2020-04-15
1586919600,6914.3,6918.63,6879.27,6905.57,42.7,294339.71,2020-04-15
1586923200,6906.1,6939.54,6902.86,6914.3,7.24,50100.87,2020-04-15
1586926800,6915.07,6915.18,6890.02,6906.1,9.571,66049.39,2020-04-15
1586930400,6895.09,6928.54,6895.09,6915.07,9.282,64196.06,2020-04-15
1586934000,6870.02,6902.45,6870.02,6895.09,15.93,109646.37,2020-04-15
1586937600,6848.9,6884.36,6845.0,6870.02,13.27,91183.24,2020-04-15
1586941200,6845.11,6862.45,6834.36,6848.9,30.07,205832.87,2020-04-15
1586944800,6794.46,6871.37,6760.01,6845.11,36.91,251690.91,2020-04-15
1586948400,6781.44,6802.45,6753.12,6794.46,37.02,251005.57,2020-04-15
1586952000,6716.55,6781.44,6690.56,6781.44,104.15,701460.79,2020-04-15
1586955600,6739.05,6780.42,6697.85,6716.55,59.12,398556.45,2020-04-15
1586959200,6731.92,6773.58,6726.28,6739.05,34.89,235481.71,2020-04-15
1586962800,6704.53,6744.72,6693.77,6731.92,42.31,284351.21,2020-04-15
1586966400,6736.99,6752.05,6686.56,6704.53,29.13,195913.4,2020-04-15
1586970000,6758.61,6769.99,6733.4,6736.99,79.1,534377.43,2020-04-15
1586973600,6763.43,6779.73,6754.05,6758.61,34.58,234087.15,2020-04-15
1586977200,6738.81,6763.43,6738.8,6763.43,18.59,125490.66,2020-04-15
1586980800,6751.71,6764.0,6726.17,6738.81,26.08,176171.31,2020-04-15
1586984400,6735.0,6771.5,6731.57,6751.71,19.12,129089.47,2020-04-15
1586988000,6720.68,6740.26,6701.01,6735.0,26.62,178883.68,2020-04-15
1586991600,6622.89,6720.68,6606.06,6720.68,221.45,1469840.62,2020-04-15
1586995200,6577.71,6624.67,6450.0,6622.89,283.65,1854479.59,2020-04-16
1586998800,6630.9,6660.5,6553.36,6577.71,29.55,195285.54,2020-04-16
1587002400,6647.51,6660.32,6616.97,6630.9,32.07,212857.12,2020-04-16
1587006000,6658.13,6672.19,6606.24,6647.51,36.88,244755.11,2020-04-16
1587009600,6633.87,6684.79,6633.87,6658.13,8.544,56880.43,2020-04-16
1587013200,6645.93,6661.5,6632.78,6633.87,15.24,101260.33,2020-04-16
